village_code,county_chinese_name,township_chinese_name,village_chinese_name,village_english_name,county_id,county_code,township_id,township_code,note,township_english_name,monthly_average_income,dining_out_average_monthly_budget,dining_out_average_weekly_budget,dining_out_average_daily_budget,passerby_dining_out_weekly_budget,passerby_dining_out_daily_budget,passerby_dining_out_monthly_budget
63000030027,臺北市,大安區,龍雲里,Longyun Vil.,A,63000,A02,63000030,,Da'an District,186000.0,29016.0,6770.400000000001,967.2,4611.889380259096,658.8413400370137,19765.24020111041
63000030023,臺北市,大安區,新龍里,Xinlong Vil.,A,63000,A02,63000030,,Da'an District,118416.66666666667,18473.0,4310.366666666667,615.7666666666667,4647.792916161503,663.9704165945004,19919.112497835013
63000050019,臺北市,中正區,南福里,Nanfu Vil.,A,63000,A03,63000050,,Zhongzheng District,134583.33333333334,20995.0,4898.833333333333,699.8333333333334,4600.636505498002,657.2337864997146,19717.013594991437
63000050018,臺北市,中正區,龍光里,Longguang Vil.,A,63000,A03,63000050,,Zhongzheng District,117666.66666666667,18356.0,4283.066666666667,611.8666666666667,4555.335937044763,650.7622767206805,19522.868301620412
63000030020,臺北市,大安區,錦泰里,Jintai Vil.,A,63000,A02,63000030,,Da'an District,189083.33333333334,29497.0,6882.633333333333,983.2333333333333,4654.8316563744065,664.9759509106295,19949.278527318886
63000070016,臺北市,萬華區,和平里,Heping Vil.,A,63000,A05,63000070,,Wanhua District,63416.666666666664,9893.0,2308.366666666667,329.76666666666665,4594.376036369248,656.3394337670354,19690.18301301106
63000070012,臺北市,萬華區,雙園里,Shuangyuan Vil.,A,63000,A05,63000070,,Wanhua District,83166.66666666667,12974.0,3027.266666666667,432.46666666666664,4579.579099230214,654.2255856043163,19626.767568129486
63000020030,臺北市,信義區,三張里,Sanzhang Vil.,A,63000,A17,63000020,,Xinyi District,119666.66666666667,18668.0,4355.866666666667,622.2666666666667,4656.512711731537,665.2161016759338,19956.483050278013
63000020028,臺北市,信義區,景新里,Jingxin Vil.,A,63000,A17,63000020,,Xinyi District,270500.0,42198.0,9846.2,1406.6,4640.477149122678,662.9253070175255,19887.759210525765
63000020034,臺北市,信義區,景聯里,Jinglian Vil.,A,63000,A17,63000020,,Xinyi District,95833.33333333333,14950.0,3488.3333333333335,498.3333333333333,4646.027234676084,663.7181763822977,19911.54529146893
63000030031,臺北市,大安區,通化里,Tonghua Vil.,A,63000,A02,63000030,,Da'an District,115333.33333333333,17992.0,4198.133333333333,599.7333333333333,4609.428586969253,658.4897981384647,19754.69394415394
